GPKODE	UMCU	ICC	NEO	ICK	HCK	FilterUMCU	FilterICC	FilterNEO	FilterICK	FilterHCK	Generic	UseGenName	UseShape	UseBrand	TallMan	Mmol	Divisible	GStand	Shape	Brand	GenName
130486						FALSE	FALSE	FALSE	FALSE	FALSE	STIRIPENTOL							STIRIPENTOL	CAPSULE	DIACOMIT	STIRIPENTOL
130494						FALSE	FALSE	FALSE	FALSE	FALSE	STIRIPENTOL							STIRIPENTOL	POEDER VOOR ORALE SUSPENSIE	DIACOMIT	STIRIPENTOL
130508						FALSE	FALSE	FALSE	FALSE	FALSE	STIRIPENTOL							STIRIPENTOL	POEDER VOOR ORALE SUSPENSIE	DIACOMIT	STIRIPENTOL
43249	x					TRUE	FALSE	FALSE	FALSE	FALSE	SUCRALFAAT							SUCRALFAAT	GRANULAAT		SUCRALFAAT
59544	x					TRUE	FALSE	FALSE	FALSE	FALSE	SUCRALFAAT							SUCRALFAAT	SUSPENSIE VOOR ORAAL GEBRUIK	SUCRALAN	SUCRALFAAT
88234	x	x				TRUE	TRUE	FALSE	FALSE	FALSE	SUFENTANIL				SUFentanil		10	SUFENTANIL	INJECTIEVLOEISTOF	SUFENTA	SUFENTANIL CITRAAT
88242	x					TRUE	FALSE	FALSE	FALSE	FALSE	SUFENTANIL				SUFentanil			SUFENTANIL	INJECTIEVLOEISTOF	SUFENTA	SUFENTANIL CITRAAT
167142						FALSE	FALSE	FALSE	FALSE	FALSE	SUFENTANIL							SUFENTANIL	INFUSIEVLOEISTOF		SUFENTANIL CITRAAT
179256						FALSE	FALSE	FALSE	FALSE	FALSE	SUFENTANIL							SUFENTANIL	SPRAY		SUFENTANIL CITRAAT
179264						FALSE	FALSE	FALSE	FALSE	FALSE	SUFENTANIL							SUFENTANIL	DRUPPELS VOOR ORAAL GEBRUIK, OPLOSSING		SUFENTANIL CITRAAT
160636						FALSE	FALSE	FALSE	FALSE	FALSE	SUFENTANIL/ROPIVACAINE							SUFENTANIL/ROPIVACAINE	INJECTIEVLOEISTOF		SUFENTANIL CITRAAT/ROPIVACAINE HYDROCHLORIDE-1-WATER
177547						FALSE	FALSE	FALSE	FALSE	FALSE	SUFENTANIL/ROPIVACAINE							SUFENTANIL/ROPIVACAINE	INFUSIEVLOEISTOF		SUFENTANIL CITRAAT/ROPIVACAINE HYDROCHLORIDE-1-WATER
129968	x					TRUE	FALSE	FALSE	FALSE	FALSE	SUGAMMADEX							SUGAMMADEX	INJECTIEVLOEISTOF	BRIDION	SUGAMMADEX OCTANATRIUM
77321						FALSE	FALSE	FALSE	FALSE	FALSE	SULCONAZOL							SULCONAZOL	CREME	MYK 1	SULCONAZOL NITRAAT
179639						FALSE	FALSE	FALSE	FALSE	FALSE											
179647						FALSE	FALSE	FALSE	FALSE	FALSE											
179655						FALSE	FALSE	FALSE	FALSE	FALSE											
100951						FALSE	FALSE	FALSE	FALSE	FALSE	SULCONAZOL							SULCONAZOL	OPLOSSING VOOR CUTAAN GEBRUIK	MYK 1	SULCONAZOL NITRAAT
34878	x					TRUE	FALSE	FALSE	FALSE	FALSE	SULFADIAZINE							SULFADIAZINE	SUSPENSIE VOOR ORAAL GEBRUIK		SULFADIAZINE
868						FALSE	FALSE	FALSE	FALSE	FALSE	SULFASALAZINE							SULFASALAZINE	ZETPIL	SALAZOPYRINE	SULFASALAZINE
19968	x					TRUE	FALSE	FALSE	FALSE	FALSE	SULFASALAZINE				sulfaSALAzine			SULFASALAZINE	MAAGSAPRESISTENTE TABLET	SALAZOPYRINE	SULFASALAZINE
100889	x					TRUE	FALSE	FALSE	FALSE	FALSE	SULFASALAZINE				sulfaSALAzine			SULFASALAZINE	SUSPENSIE VOOR ORAAL GEBRUIK		SULFASALAZINE
14710						FALSE	FALSE	FALSE	FALSE	FALSE	SULPIRIDE							SULPIRIDE	CAPSULE	DOGMATIL	SULPIRIDE
179752						FALSE	FALSE	FALSE	FALSE	FALSE											
179760						FALSE	FALSE	FALSE	FALSE	FALSE											
179779						FALSE	FALSE	FALSE	FALSE	FALSE											
179787						FALSE	FALSE	FALSE	FALSE	FALSE											
100099						FALSE	FALSE	FALSE	FALSE	FALSE	SULPIRIDE							SULPIRIDE	TABLET	DOGMATIL	SULPIRIDE
44067	x					TRUE	FALSE	FALSE	FALSE	FALSE	SULPROSTON							SULPROSTON	POEDER VOOR INJECTIEVLOEISTOF	NALADOR	SULPROSTON
159190						FALSE	FALSE	FALSE	FALSE	FALSE	SULPROSTON							SULPROSTON	INFUUS		SULPROSTON
100404						FALSE	FALSE	FALSE	FALSE	FALSE	SULTIAM							SULTIAM	TABLET	OSPOLOT	SULTIAM
179450						FALSE	FALSE	FALSE	FALSE	FALSE	SULTIAM							SULTIAM	TABLET	OSPOLOT	SULTIAM
